Name,ID,Quote,Description,Quality
???'s Only Friend,5.100.320,Controlled friend,Spawns a controllable familiar that deals 37.5 damage per second on touch. It can be moved using the shooting directional keys,1
<3,5.100.15,HP up,Grants Isaac one Red Heart container and fully restores Isaac's health.,2
1up!,5.100.11,Extra life,"Gives Isaac an extra life. Upon death, he will respawn in the previous room with full health, after which 1up! will disappear.",2
20/20,5.100.245,Double shot,"Isaac fires two tears at once, one from each eye.  0.8x damage multiplier.",4
3 Dollar Bill,5.100.191,Rainbow tears,Gives Isaac a random tear effect every room. Gives Isaac a random tear effect every few seconds.,2
9 Volt,5.100.116,Quicker charge,Reduces the charge of any activated item by 1. Any 1 charge items instead have timed recharges.,2
A Dollar,5.100.18,$$$,Gives Isaac 100   Pennies.,3
A Lump of Coal,5.100.132,My Xmas present,"The more distance tears travel, the more damage they will do.",3
A Quarter,5.100.74,+25 coins,Gives Isaac 25   coins.,0
A Snack,5.100.346,HP up,Grants one full Red Heart container.  Heals 1 additional   Red Heart.,1
Abaddon,5.100.230,Evil + DMG up + fear shot,"+1.5 damage, +0.2 speed. Removes all Red Heart containers, grants six  Black Hearts, and adds a chance to shoot fear tears. +1.5 damage, +0.2 speed. Grants two  Black Hearts, converts all Red Heart Containers into Black Hearts, and adds a chance to shoot fear tears.",3
Abel,5.100.188,Mirrored buddy,Spawns a familiar that mirrors Isaac's movements and shoots in the opposite direction. Spawns a familiar that mirrors Isaac's movements and shoots towards him.,0
Anemic,5.100.214,Toxic blood,"After Isaac is damaged, a trail of red creep will be left behind him until he leaves the current room.  +5 range.  +1.5 range.",1
Ankh,5.100.161,Eternal life?,"Upon death, Isaac will respawn as   ??? in the previous room, with 3   Soul Hearts.",1
Anti-Gravity,5.100.222,Anti-gravity tears + tears up,"Tears float in position until firing ceases, after which they will fly off in the direction they were shot in.  -2 Tear Delay.  +1 Fire Rate.",2
Aquarius,5.100.308,Trail of tears,"A trail of blue creep is left behind Isaac, which damages enemies.  The creep inherits most of Isaac's tear effects, like homing, etc.",2
Aries,5.100.300,Ramming speed,+0.25 Speed. Running into enemies while at a high speed will deal damage.  Prevents Isaac from taking contact damage while moving at high speed.,2
Ball of Bandages,5.100.207,Gotta lick 'em all!,"Creates an orbital familiar. Collecting additional copies gives it the ability to shoot Charm tears, then chase enemies to deal contact damage, then deal even more contact damage.",2
Ball of Tar,5.100.231,Sticky feet...,"Adds a chance to shoot slowing tears. Isaac leaves a trail of slowing creep behind as he moves, impeding enemies' speed.",2
BBF,5.100.272,Big Beautiful Fly,Spawns a familiar that flies around the room in a zig-zag pattern and explodes on contact with an enemy. Respawns after ten seconds.,1
Best Bud,5.100.274,Sworn protector,"When hit, spawns a quickly orbiting attack fly similar to  Forever Alone for the current room that deals high damage.",0
BFFS!,5.100.247,Your friends rule!,Increases the size and effectiveness of most familiars.,2
Big Fan,5.100.279,Fat protector,Spawns a large orbital familiar that blocks enemy shots and deals 30 damage per second to enemies.,2
Black Candle,5.100.260,Curse immunity + evil up,Prevents curses. Grants one   Black Heart. Increases the chance for a  Devil Room or  Angel Room to appear.,3
Black Lotus,5.100.226,HP up x3!,"Grants one Red Heart Container, one   Soul Heart, and one   Black Heart.",2
Blood Bag,5.100.119,HP up,"Grants one filled Red Heart container, restores 4   Red Hearts, and increases speed by 0.3.",2
Blood Clot,5.100.254,DMG + range up,"Tears fired from the left eye have +1 flat damage, +5 range, and +0.5 tear falling speed.Tears fired from the left eye have +1 flat damage and +2.75 range.",2
Blood of the Martyr,5.100.7,DMG up,+1 damage. Isaac shoots blood tears.,3
Bloody Lust,5.100.157,RAGE!,"Increases Isaac's damage whenever he takes damage, up to six times. The bonus resets when entering a new floor.",2
Blue Cap,5.100.342,HP + tears up + shot speed down,"Gives one full Red Heart container, +0.7 tears, and -0.16 shot speed.  Heals 1 additional   Red Heart.",3
Blue Map,5.100.246,Secrets,Reveals the locations of  Secret Rooms and  Super Secret Rooms on the map.,2
Bob's Brain,5.100.273,Explosive thoughts,"Spawns a familiar that charges forward when shooting tears and explodes upon contact with an enemy, damaging and poisoning them. The familiar respawns after a few seconds.",1
Bob's Curse,5.100.140,+5 poison bombs,"+5   Bombs. Grants Isaac's bombs a poison effect.  They also leave a lingering poison cloud, and Isaac becomes immune to poison.",1
Bobby-Bomb,5.100.125,Homing bombs!,"+5   Bombs. Bombs gain a homing effect, slowly moving towards the nearest enemy.",2
Bogo Bombs,5.100.250,1+1 BOOM!,All normal   Bombs become   Double Bombs.,1
Bomb Bag,5.100.131,Gives bombs,Spawns a familiar that drops a   Bomb every 3 rooms.,2
Boom!,5.100.19,10 bombs,Grants 10   Bombs.,0
Box,5.100.198,Stuff,"Spawns various pickups: 1   coin, 1   Key, 1   Bomb, 1   Heart, 1 card/rune, 1 pill and 1 trinket.",0
Breakfast,5.100.25,HP up,Grants one full Red Heart container.  Heals 1 additional   Red Heart.,1
Brimstone,5.100.118,Blood laser barrage,Tears are replaced by a laser beam that pierces through all enemies and obstacles in its path and deals high damage. Can only be fired after a short charge-up period.,4
Broken Watch,5.100.337,I think it's broken,Every 4th newly discovered room entered will slow down or speed up every enemy and their attacks. The chance to slow enemies is quite higher than the chance to speed them up.,1
Brother Bobby,5.100.8,Friends 'till the end,Spawns a familiar that follows Isaac around shooting tears that deal 3.5 damage.  He shoots more frequently than most familiars.,1
Bucket of Lard,5.100.129,HP up,"Grants two empty Red Heart containers, heals Isaac for a   Half Red Heart, -0.2 speed. Grants two Red Heart containers, -0.2 speed.",1
Bum Friend,5.100.144,He's greedy,"Spawns a familiar that picks up  coins for himself, giving random pickups in return.  Can spawn Items from the Beggar Item Pool.",1
Butt Bombs,5.100.209,Toxic blast +5 bombs,"+5   Bombs. Bombs now cloud up the screen, briefly damaging and confusing all enemies.",2
Caffeine Pill,5.100.340,Speed up + size down,"Grants +0.3 speed, reduces character size, and gives a random pill.",1
Cain's Other Eye,5.100.319,Near-sighted friend,Spawns a familiar that slowly floats around the room on a zig-zag pattern and shoots normal tears in the same direction as Isaac. Spawns a familiar that follows Isaac and fires tears in random cardinal directions that copy Isaac's tears and tear effects and scale with damage.,2
Cancer,5.100.301,HP up + you feel protected,Adds 3   Soul Hearts. Grants  The Wafer effect for the current room after taking damage.,3
Capricorn,5.100.307,All stats up,"Adds 1 Red Heart Container, gives +0.5 Damage, +0.1 Speed, +1.5 Range, and -1.0 Tear Delay, and gives 1   Bomb,   Penny, and   Key. Adds 1 Red Heart Container, gives +0.5 Damage, +0.1 Speed, +0.75 Range, and +0.5 Fire Rate, and gives 1   Bomb,   Penny, and   Key.",3
Cat-O-Nine-Tails,5.100.165,Shot speed + damage up,"+1 damage, +0.23 shot speed.",3
Celtic Cross,5.100.162,Blessing of protection,"Grants a chance to trigger the  Book of Shadows effect upon taking damage, creating a shield that nullifies all types of damage for 7 seconds.",1
Ceremonial Robes,5.100.216,DMG + evil up,"Grants 3   Black Hearts, and +1 damage.",3
